Category,AttributeID,AttributeName,Description,Example,Comments,Necessity,fish & shark,turtle,mammal,bird,Proposed by,Other notes,CF 1.6 globals Mapping,ACCD 1.3 Mapping,class
instrument,1,instrument_name,Append an identifer that is unique within your organization. This is essential if a device is recycled.,16P0100-Refurb2,"Devices might be reused, so the serial number will be the same. The only way to distinguish is by providing a unique name for the recycled product. ",required,1,1,1,1,Tim Lam,,,,character
instrument,2,instrument_type,Type of instrument,"archival, popup, satellite, acoustic tag, or acoustic receiver",Should be restricted to the examples provided.,required,1,1,1,1,Tim Lam,"If any of the metadata can be populated by manufacter, we need to provide a ""map"" to connect the manufacturer names to our names here.  We should consider maping to possible device specification metadata record in http://cor.esipfed.org/ont#/  system (Vardis to investigate with MMI/COR -XDOMES project)",,instrument (Suggested)  +  instrument_vocabulary (Suggested),character
instrument,3,firmware,Version number of the firmware used to build the device,,,required,1,1,1,1,Tim Lam,,,instrument (Suggested)  +  instrument_vocabulary (Suggested),character
instrument,4,manufacturer,Name of manufacturer,"Wildlife Computers, Microwave Telemetry, Lotek Wireless, Desert Star Systems, CEFAS, StarOddi, Sea Mammal Research Unit, Vemco, Loggerhead Instruments, Biologging Solutions, Little Leonardo, Teleonics etc.",,required,1,1,1,1,Tim Lam,Some edits to the example list made by IATTC,,instrument (Suggested)  +  instrument_vocabulary (Suggested),character
instrument,5,model,Model name,MiniPAT,,required,1,1,1,1,Tim Lam,,,instrument (Suggested)  +  instrument_vocabulary (Suggested),character
instrument,6,owner_contact,Contact email/ telephone/ address,,,required,1,1,1,1,Tim Lam,Comma separated,,,character
instrument,7,person_owner,Researcher/ organization owning the device,,PI/scientist/organization is used interchargably here. But best to have a first-last name specified here.,required,1,1,1,1,Tim Lam,Comma separated,,,character
instrument,8,serial_number,Serial number,16P0100,,required,1,1,1,1,Tim Lam,,,instrument (Suggested)  +  instrument_vocabulary (Suggested),character
instrument,9,date_shipment,Date (yyyy-mm-dd) of receiving the device from manufacturer,2017-07-11T18:24:23+00:00,The device can be fresh off the production line or refurnished with some parts replaced.,recommended,1,1,1,1,Tim Lam,,,,POSIXct
instrument,10,project,Name or identifer for project/ grant number,,,recommended,1,1,1,1,Tim Lam,Comma separated,,project (Recommended)  + program (Suggested),character
instrument,11,ptt,Platform Transmitting Terminal (PTT) number for Argos transmission.,,,recommended,1,1,1,1,Tim Lam,,,,numeric
instrument,12,ptt_hex,PTT in hexadecimal,,,recommended,1,1,1,1,Tim Lam,,,,character
instrument,13,specs,"Specification document name/ URL/ file (e.g., in xml)",,Need input from manufacturer. May allow attachment or upload. Or grab it from an online archive.,recommended,1,1,1,1,Tim Lam,Possible device specification metadata record in http://cor.esipfed.org/ont#/  system,,instrument (Suggested)  +  instrument_vocabulary (Suggested),character
instrument,14,code_map,Placeholder for acoustic tags,,Refer to ATN spec.,no,1,1,1,-1,Tim Lam,,,,
instrument,15,ping_code,Placeholder for acoustic tags,,Refer to ATN spec.,no,1,1,1,-1,Tim Lam,,,,
programming,100,programming_report,File/ URL to a report listing the details of programming,,Need input from manufacturer. May allow attachment or upload. Or grab it from an online archive.,required,1,1,1,1,Tim Lam,,,,
programming,101,programming_software,Programming software with version number,,,required,1,1,1,1,Tim Lam,,,,
programming,102,days_constantdepth,Days at a constant depth before release is initiated ,1,This represents a time lag in days after the tag is  floating/ detached/ sunk before the release procedure will be initiated. ,recommended,1,0,0,-1,Tim Lam,,,,numeric
programming,103,days_mission,Programmed mission length in days,365,,recommended,1,1,1,1,Tim Lam,,,,numeric
programming,104,minutes_summary,Interval in minutes during when data are summarized for that period,1440,Data are summarized because of Argos transmission constraint.,recommended,1,1,1,1,Tim Lam,,,,numeric
programming,105,person_programmer,Person responsible for the programming,,,recommended,1,1,1,1,Tim Lam,,,,character
programming,106,seconds_sampling,Sampling rate (seconds) for sensor sampling,15,"For basic sensors,  e.g., pressure, temperature, light",recommended,1,1,1,1,Tim Lam,,,time_coverage_resolution (Recommended),numeric
programming,107,seconds_writingdata,Time interval in seconds when sampled data are written to onboard storage memory,300,"This specifies how frequent data will be stored, and subsequently available for download or summarizing.",recommended,1,1,1,1,Tim Lam,,,,numeric
programming,108,seconds_sampling_highfreq,Sampling rate (seconds) for sensor sampling at a higher frequency,,"For sensors that sample in Hertz (Hz),  e.g., accelerometer, magnetometer",optional,1,1,1,1,Tim Lam,,,time_coverage_resolution (Recommended),
attachment,200,attachment_method,Method used to put the tag on/ in the animal,"tow, glue, suction, anchor, mount, implant, harness, backpack","Should be restricted to the examples provided. Tow includes tethered for popup or towed for satellite tags . Glue is using adhensive or epoxy. Mount is using screw, bolt, button, sleeve or backpack. Anchor is equivalent to applying a conventional tag or using a gun (air, spear etc.). Implant implies surgery, ingestion or insertion.",required,1,1,1,1,Tim Lam,,,,character
attachment,201,anchor_depth_cm,How deep (centimeter) should the anchor be in the animal?,8,May be used for cetacean tagging.,recommended,1,-1,0,-1,Tim Lam,,,,numeric
attachment,202,anchor_dimensions_mm,"Dimensions (millimeter) as length, width, thichkness or diameter.",20 L x 14 W,"Can be used loosely as size: small, medium and large.",recommended,1,-1,0,-1,Tim Lam,,,,character
attachment,203,anchor_material,Material of anchor,"nylon, urethane, stainless steel, titanium",,recommended,1,-1,0,-1,Tim Lam,,,,character
attachment,204,anchor_type,Type of anchor,"Domeier, Wilton, Titanium",,recommended,1,-1,0,-1,Tim Lam,,,,character
attachment,205,attachment_product,Brand name and/ product for attachment materials used,"VetBond, Peel Ply, tesa®","Brand and product name of suture, stainless steel wire, monofilament, bolt, tape, adhesive, epoxy, suction cup, air gun, speargun, pole, applicator and tip.",recommended,1,1,1,1,Tim Lam,Comma separated. Some edits/additions to the example list made by IATTC,,,character
attachment,206,mount_type,Type of mount,"Fin, tail, carapacial ridge",,recommended,1,1,1,1,Tim Lam,,,,character
attachment,207,release_method,Method to get a tag detached from the animal/ anchor,"corrosive burn wire, oxidative/ explosive, galavanizing metal, acoustic release",,recommended,1,1,1,0,Tim Lam,,,,character
attachment,208,tether_assembly,Materials and methods in constructing a tether,heat-shrink or silicon tubing,Use brand name and/ product when possible.,recommended,1,1,0,-1,Tim Lam,,,,character
attachment,209,tether_length_cm,End to end length (centimeter) of a tether,,,recommended,1,1,0,-1,Tim Lam,,,,numeric
attachment,210,tether_material,Tether material for a towed tag,"stainless steel wire, monofilament",Use brand name and/ product when possible.,recommended,1,1,0,-1,Tim Lam,,,,character
attachment,211,anesthetic_product,Brand name and/ product of anesthesia used during the attachment,"metomidate, Aqua-S",,optional,1,1,1,1,Tim Lam,,,,character
attachment,212,antifouling_product,Brand name and/ product of antifoluling paint or coating applied ,PropSpeed,,optional,1,1,1,1,Tim Lam,,,,character
attachment,213,antiseptic_product,Brand name and/ product of antiseptic or sterilizing agent used during the attachment,"Iodine, Cicatrin",,optional,1,1,1,1,Tim Lam,,,,character
